CHAR	ascii	morse			morse (hex)
A		0x41	0110000000		0x180
B		0x42	1001010100		0x254
C		0x43	1001100100		0x264
D		0x44	1001010000		0x250
E		0x45	0100000000		0x100
F		0x46	0101100100		0x164
G		0x47	1010010000		0x290
H		0x48	0101010100		0x154
I		0x49	0101000000		0x140
J		0x4A	0110101000		0x1A8
K		0x4B	1001100000		0x260
L		0x4C	0110010100		0x194
M		0x4D	1010000000		0x280
N		0x4E	1001000000		0x240
O		0x4F	1010100000		0x2A0
P		0x50	0110100100		0x1A4
Q		0x51	1010011000		0x298
R		0x52	0110010000		0x190
S		0x53	0101010000		0x150
T		0x54	1000000000		0x200
U		0x55	0101100000		0x160
V		0x56	0101011000		0x158
W		0x57	0110100000		0x1A0
X		0x58	1001011000		0x258
Y		0x59	1001101000		0x268
Z		0x5A	1010010100		0x294
0		0x30	1010101010		0x2AA
1		0x31	0110101010		0x1AA
2		0x32	0101101010		0x16A
3		0x33	0101011010		0x15A
4		0x34	0101010110		0x156
5		0x35	0101010101		0x155
6		0x36	1001010101		0x255
7		0x37	1010010101		0x295
8		0x38	1010100101		0x2A5
9		0x39	1010101001		0x2A9
 		0x20	0000000000		0x000


Dot:  01
Dash: 10
Null: 00


Length of Dot:			 100ms
Length of Dash: 		 500ms
Space between dot/dash:  100ms
Space between letters:	 500ms
Space between words:	 1s
